Clove.benefit.score;ID.nom;ID.vis.Aye;Other.lemurs;Diet.Insects;Knowledge.signs;Knowledge.Abundance;Activity.knowledge;Weight.knowledge;Lifestyle.knowledge;Lemur.knowledge;Aye.aye.protected;encountered.binary
1;0;0;1;1;0;1;1;0;0;1;1;0
1;1;1;1;1;1;1;1;0;1;1;1;0
1;0;0;1;0;0;1;1;0;0;1;1;0
1;1;1;1;1;0;1;1;1;1;1;1;1
0;1;1;1;0;0;1;1;0;1;0;1;0
0;0;0;1;1;0;0;1;0;0;1;1;0
1;1;0;1;1;0;1;1;0;1;0;1;0
1;0;0;1;0;0;1;1;0;1;0;1;0
0;0;0;0;1;0;1;1;0;0;1;1;0
0;0;0;0;0;0;1;1;0;1;1;0;0
0;1;1;1;1;1;1;1;0;1;0;1;1
0;0;0;1;0;0;0;0;0;0;0;1;0
1;1;1;1;1;1;0;0;0;1;1;1;0
1;1;0;1;1;0;1;0;0;1;1;1;0
0;1;0;1;0;0;0;0;0;1;0;1;0
1;1;1;1;1;0;1;0;0;0;1;1;1
0;0;0;1;1;0;1;0;0;1;1;1;0
0;1;0;1;0;0;1;1;0;0;0;0;0
0;0;0;1;0;0;1;0;0;0;0;0;0
0;0;0;1;0;0;1;0;0;0;1;0;0
1;0;0;1;0;0;0;1;0;0;1;1;0
0;0;0;1;0;0;1;1;0;1;0;0;0
1;0;0;1;1;0;1;1;0;0;1;1;0
1;1;1;1;1;0;1;1;0;1;1;1;0
0;0;0;1;0;0;0;1;0;0;0;1;0
1;1;0;1;1;0;1;1;0;1;1;1;0
1;1;1;1;0;0;1;1;0;1;0;1;1
1;1;0;1;1;1;0;1;0;1;1;1;1
0;0;0;1;0;0;0;0;1;1;0;1;0
1;0;0;1;1;0;1;1;0;0;1;1;0
1;1;1;1;1;0;1;0;0;1;0;0;0
1;1;0;1;0;0;0;1;0;0;0;1;0
1;1;0;1;0;0;1;1;0;1;1;1;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;1;0;0;0;0;0;1;0;0;0
0;0;0;1;1;0;0;1;0;1;0;1;0
0;0;0;1;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;1;1;0;1;1;0;1;0;1;0
0;0;0;1;1;0;0;1;0;0;0;0;0
1;1;1;1;0;0;1;0;0;0;0;0;0
0;0;0;1;0;0;1;1;1;0;1;1;0
1;1;1;1;1;1;1;1;1;1;1;1;1
0;1;0;1;1;1;1;1;0;1;0;0;1
1;1;0;0;0;0;1;1;1;1;1;0;0
0;1;0;1;0;0;0;1;0;1;0;0;0
0;0;0;1;0;0;0;0;0;0;1;1;0
0;1;0;1;0;0;1;0;0;1;1;1;0
0;0;0;1;1;0;0;1;0;1;0;1;0
1;1;0;1;1;0;0;1;0;1;0;0;0
0;1;0;1;1;0;1;0;0;1;1;0;0
0;1;1;1;1;1;0;1;1;1;1;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;1;1;0;0;1;1;0;1;1;1
