Survey.sheet;Clove.benefit.score;Region;Village;Gender;Age;schooling.years;Ethnic.group;Migration.Experience;Farms.Cloves;nr.month.low.supply;encountered.binary;ID.vis.Aye-aye;ID.nom;Knowledge.non.benefit.score.max.6;DK.score;Diet.Insects;Knowledge.signs;Remoteness;village.size;School;Forest.cover2018;Forest.cover1990;Forestloss_total;Forestloss_relative;Farms.Paddy.Rice;Farms.Tavy.Rice;Extracts.Medical.plants;FES.provisioning;FES.regulating;FES.cultural;FES.supporting;ID.vis.Indri;ID.vis.Microcebus;Aye.aye.protected
1;1;0;0;1;51;0;1;0;1;8;0;0;0;4;2;1;0;1;4;1;0,4;16,3;15,9;97,54601227;1;0;1;0;1;0;0;1;1;1
2;1;0;0;1;52;10;1;0;1;6;0;1;1;5;0;1;1;1;4;1;0,4;16,3;15,9;97,54601227;1;0;1;0;1;0;0;1;1;1
3;1;0;0;1;50;2;1;0;1;3;0;0;0;3;1;0;0;1;4;1;0,4;16,3;15,9;97,54601227;1;1;1;1;0;0;0;1;1;1
4;1;0;0;1;58;9;1;0;1;5;1;1;1;6;0;1;0;1;4;1;0,4;16,3;15,9;97,54601227;1;1;0;1;1;0;0;1;1;1
5;0;0;0;0;52;5;1;0;0;1;0;1;1;3;3;0;0;1;4;1;0,4;16,3;15,9;97,54601227;1;0;1;1;0;0;0;1;1;1
6;0;0;0;0;50;5;1;0;1;2;0;0;0;3;2;1;0;1;4;1;0,4;16,3;15,9;97,54601227;1;0;0;1;0;0;0;0;1;1
7;1;0;0;1;53;5;1;0;1;7;0;0;1;4;2;1;0;1;4;1;0,4;16,3;15,9;97,54601227;1;1;1;0;1;0;0;0;1;1
8;1;0;0;1;22;0;1;0;1;3;0;0;0;3;2;0;0;1;4;1;0,4;16,3;15,9;97,54601227;1;0;0;1;0;0;0;1;1;1
9;0;0;0;1;41;4;1;0;1;8;0;0;0;4;2;1;0;1;4;1;0,4;16,3;15,9;97,54601227;1;0;1;1;1;0;0;0;0;1
10;0;0;0;1;18;10;1;0;0;2;0;0;0;5;2;0;0;1;4;1;0,4;16,3;15,9;97,54601227;1;0;1;0;1;0;0;0;0;0
11;0;1;1;1;33;0;1;1;1;3;1;1;1;4;1;1;1;5;2;1;57,9;88,13;30,23;34,30159991;1;0;1;1;1;0;0;1;1;1
12;0;1;1;0;28;6;3;1;1;2;0;0;0;0;10;0;0;5;2;1;57,9;88,13;30,23;34,30159991;1;0;0;0;1;0;0;0;1;1
13;1;1;1;1;23;8;1;0;1;5;0;1;1;3;1;1;1;5;2;1;57,9;88,13;30,23;34,30159991;1;0;0;0;1;0;0;1;1;1
14;1;1;1;1;30;0;1;0;1;3;0;0;1;4;4;1;0;5;2;1;57,9;88,13;30,23;34,30159991;1;1;1;1;0;0;0;1;0;1
15;0;1;1;0;27;5;2;0;1;2;0;0;1;1;3;0;0;5;2;1;57,9;88,13;30,23;34,30159991;1;1;1;1;0;0;0;1;0;1
16;1;1;1;1;35;11;1;0;1;2;1;1;1;3;0;1;0;5;2;1;57,9;88,13;30,23;34,30159991;1;0;0;0;1;1;0;1;1;1
17;0;1;1;0;23;10;2;0;1;4;0;0;0;4;0;1;0;5;2;1;57,9;88,13;30,23;34,30159991;1;0;1;1;1;0;0;1;0;1
18;0;1;1;1;80;0;1;0;1;2;0;0;1;2;7;0;0;5;2;1;57,9;88,13;30,23;34,30159991;1;0;1;0;1;0;0;1;0;0
19;0;1;1;0;30;1;2;0;1;NA;0;0;0;1;9;0;0;5;2;1;57,9;88,13;30,23;34,30159991;1;0;1;1;0;0;0;1;0;0
20;0;1;1;1;20;5;1;0;1;2;0;0;0;2;10;0;0;5;2;1;57,9;88,13;30,23;34,30159991;0;0;1;1;1;0;0;1;1;0
21;1;1;1;1;51;4;1;0;1;6;0;0;0;3;7;0;0;5;2;1;57,9;88,13;30,23;34,30159991;1;1;1;0;1;1;0;1;0;1
22;0;1;1;0;32;9;1;0;1;6;0;0;0;3;3;0;0;5;2;1;57,9;88,13;30,23;34,30159991;1;0;0;1;1;0;0;1;0;-1
23;1;1;1;0;45;0;1;0;1;2;0;0;0;4;4;1;0;5;2;1;57,9;88,13;30,23;34,30159991;1;0;1;0;1;0;0;1;0;1
24;1;1;1;1;32;3;1;0;1;2;0;1;1;5;1;1;0;5;2;1;57,9;88,13;30,23;34,30159991;1;0;1;1;1;0;0;1;1;1
25;0;1;1;0;24;0;1;0;1;3;0;0;0;1;7;0;0;5;2;1;57,9;88,13;30,23;34,30159991;1;0;1;0;1;0;0;1;0;1
26;1;1;1;1;26;9;1;0;1;5;0;0;1;5;1;1;0;5;2;1;57,9;88,13;30,23;34,30159991;1;0;1;1;0;0;0;1;1;1
27;1;1;1;1;30;4;1;0;1;5;1;1;1;3;3;0;0;5;2;1;57,9;88,13;30,23;34,30159991;1;0;1;0;1;0;0;1;1;1
28;1;1;1;1;66;0;1;0;1;2;1;0;1;4;2;1;1;5;2;1;57,9;88,13;30,23;34,30159991;1;0;1;1;1;0;0;1;0;1
29;0;1;1;1;28;6;1;1;0;8;0;0;0;2;3;0;0;5;2;1;57,9;88,13;30,23;34,30159991;0;0;0;0;1;0;1;1;1;1
30;1;1;1;1;30;1;1;0;1;3;0;0;0;4;2;1;0;5;2;1;57,9;88,13;30,23;34,30159991;1;1;1;1;0;0;0;1;1;1
31;1;1;2;1;56;3;1;1;1;3;0;1;1;3;3;1;0;5;1;0;55,8;85,328;29,528;34,60528783;1;0;1;1;0;0;0;1;1;-1
32;1;1;2;1;57;0;2;0;1;5;0;0;1;1;5;0;0;5;1;0;55,8;85,328;29,528;34,60528783;1;1;1;0;1;0;1;1;0;1
33;1;1;2;1;48;5;2;0;1;2;0;0;1;4;1;0;0;5;1;0;55,8;85,328;29,528;34,60528783;1;0;1;1;1;0;0;1;0;1
34;0;1;2;0;44;3;1;1;1;3;0;0;0;0;8;0;0;5;1;0;55,8;85,328;29,528;34,60528783;1;0;1;0;1;0;0;0;0;-1
35;0;1;2;0;32;4;2;0;1;6;0;0;1;2;5;0;0;5;1;0;55,8;85,328;29,528;34,60528783;1;1;1;1;1;0;0;1;0;-1
36;0;1;2;1;44;0;1;0;1;4;0;0;0;3;3;1;0;5;1;0;55,8;85,328;29,528;34,60528783;1;0;1;0;1;0;0;1;0;1
37;0;1;2;0;25;9;3;0;1;8;0;0;0;0;14;0;0;5;1;0;55,8;85,328;29,528;34,60528783;1;0;0;0;1;0;0;0;1;0
38;1;1;2;1;80;0;1;0;1;3;0;0;0;0;5;0;0;5;1;0;55,8;85,328;29,528;34,60528783;1;0;1;0;1;0;0;0;0;0
39;0;1;2;0;20;5;1;1;1;7;0;0;1;4;7;1;0;5;1;0;55,8;85,328;29,528;34,60528783;1;0;1;1;1;0;1;1;0;1
40;0;1;2;1;15;2;3;0;1;1;0;0;0;2;9;1;0;5;1;0;55,8;85,328;29,528;34,60528783;1;1;1;1;0;0;0;1;0;0
41;1;1;2;1;17;5;1;0;1;4;0;1;1;1;3;0;0;5;1;0;55,8;85,328;29,528;34,60528783;1;0;0;1;0;0;0;1;0;0
42;0;1;2;0;45;1;2;1;1;4;0;0;0;4;4;0;0;5;1;0;55,8;85,328;29,528;34,60528783;1;0;1;0;1;0;0;1;0;1
43;1;1;3;1;31;11;1;1;1;4;1;1;1;6;0;1;1;4;4;1;32,6;74,503;41,903;56,24337275;1;1;1;1;1;0;0;0;1;1
44;0;1;3;1;21;4;3;0;0;8;1;0;1;4;4;1;1;4;4;1;32,6;74,503;41,903;56,24337275;1;1;1;1;0;0;0;1;1;0
45;1;1;3;0;30;3;1;0;1;2;0;0;1;5;3;0;0;4;4;1;32,6;74,503;41,903;56,24337275;1;0;1;0;1;0;0;0;0;-1
46;0;1;3;0;20;8;1;0;0;2;0;0;1;2;2;0;0;4;4;1;32,6;74,503;41,903;56,24337275;1;0;1;0;1;0;0;1;1;0
47;0;1;3;0;26;10;1;1;1;3;0;0;0;2;5;0;0;4;4;1;32,6;74,503;41,903;56,24337275;1;0;1;1;0;0;0;1;0;1
48;0;1;3;1;22;12;1;1;0;4;0;0;1;4;1;0;0;4;4;1;32,6;74,503;41,903;56,24337275;0;0;0;0;1;0;0;1;0;1
49;0;1;3;0;30;5;1;0;1;2;0;0;0;3;5;1;0;4;4;1;32,6;74,503;41,903;56,24337275;1;0;1;1;0;0;1;1;0;1
50;1;1;3;1;44;2;2;0;1;4;0;0;1;3;2;1;0;4;4;1;32,6;74,503;41,903;56,24337275;1;0;1;0;0;0;0;1;1;-1
51;0;1;3;1;31;9;1;0;1;5;0;0;1;4;4;1;0;4;4;1;32,6;74,503;41,903;56,24337275;1;1;0;0;1;0;0;1;1;0
52;0;1;3;1;25;4;2;0;1;10;1;1;1;5;0;1;1;4;4;1;32,6;74,503;41,903;56,24337275;1;0;1;1;0;0;0;1;1;-1
53;0;1;3;1;30;0;1;0;1;6;0;0;0;0;11;0;0;4;4;1;32,6;74,503;41,903;56,24337275;1;0;1;1;0;0;0;0;0;0
54;0;1;3;1;75;3;1;1;1;3;1;0;1;4;3;1;0;4;4;1;32,6;74,503;41,903;56,24337275;1;1;0;0;0;0;1;0;1;1
55;0;1;3;0;31;9;1;0;1;6;0;0;1;3;2;0;0;4;4;1;32,6;74,503;41,903;56,24337275;1;0;0;0;1;0;0;1;1;1
56;0;1;3;1;38;12;1;0;1;5;1;1;1;3;2;0;1;4;4;1;32,6;74,503;41,903;56,24337275;1;0;1;0;1;0;0;1;0;1
57;1;1;3;1;53;0;1;0;1;4;0;0;1;1;7;0;0;4;4;1;32,6;74,503;41,903;56,24337275;1;0;1;0;1;0;0;1;0;1
58;1;1;3;1;58;0;1;0;1;4;1;1;0;3;0;1;0;4;4;1;32,6;74,503;41,903;56,24337275;1;1;0;1;1;0;0;1;1;1
59;0;1;3;0;21;5;1;0;1;2;0;0;0;1;6;0;0;4;4;1;32,6;74,503;41,903;56,24337275;1;0;1;0;1;0;0;1;0;1
60;1;1;3;0;30;0;1;0;1;7;0;0;0;1;8;0;0;4;4;1;32,6;74,503;41,903;56,24337275;1;0;1;1;0;0;0;1;0;-1
61;0;1;3;1;31;8;1;0;1;4;1;1;1;5;0;1;1;4;4;1;32,6;74,503;41,903;56,24337275;1;0;0;1;1;0;0;0;1;1
62;1;1;3;1;61;2;1;0;1;3;1;0;1;4;0;0;0;4;4;1;32,6;74,503;41,903;56,24337275;1;0;1;0;1;0;0;1;1;1
63;1;1;4;1;24;9;1;1;1;7;0;0;1;3;0;1;0;4;2;1;22,3;72,275;49,975;69,14562435;1;1;1;0;1;1;0;1;0;1
64;1;1;4;1;47;3;2;0;1;7;0;0;0;3;6;0;0;4;2;1;22,3;72,275;49,975;69,14562435;1;1;1;1;1;0;0;1;1;0
65;1;1;4;1;29;10;1;1;0;2;0;0;0;4;0;0;1;4;2;1;22,3;72,275;49,975;69,14562435;1;0;1;0;1;0;0;0;1;1
66;0;1;4;0;50;0;1;0;1;NA;0;0;0;4;1;0;0;4;2;1;22,3;72,275;49,975;69,14562435;1;0;0;0;1;0;0;1;0;1
67;1;1;4;1;41;0;1;0;1;2;0;1;0;4;2;1;0;4;2;1;22,3;72,275;49,975;69,14562435;1;1;0;1;0;0;0;1;1;1
68;1;1;4;1;30;7;1;0;1;3;0;1;0;5;1;0;0;4;2;1;22,3;72,275;49,975;69,14562435;1;1;1;0;1;0;0;1;0;1
69;0;1;4;1;15;6;2;0;1;NA;0;0;0;2;7;0;0;4;2;1;22,3;72,275;49,975;69,14562435;1;1;1;0;0;0;0;0;1;0
70;1;1;4;1;22;10;1;0;1;4;1;1;1;6;2;1;0;4;2;1;22,3;72,275;49,975;69,14562435;1;0;1;0;1;0;0;1;1;1
71;1;1;4;1;26;2;2;0;1;6;1;0;1;3;0;1;1;4;2;1;22,3;72,275;49,975;69,14562435;1;1;1;0;1;0;0;0;1;1
72;1;1;4;1;51;0;2;0;1;4;1;1;1;3;0;1;1;4;2;1;22,3;72,275;49,975;69,14562435;1;0;1;1;1;0;0;1;1;1
73;0;1;4;0;30;3;2;0;1;2;0;0;1;2;5;0;0;4;2;1;22,3;72,275;49,975;69,14562435;1;1;1;0;1;0;0;1;0;1
