Survey.sheet;Clove.benefit.score;Region;Gender;Age;edu.level;Ethnic.group;Migration.Experience;Farms.Cloves;encountered.binary;ID.vis.Aye;ID.nom;Knowledge.non.benefit.score.max.6;DK.score;Diet.Insects;Knowledge.signs;Remoteness;village.size;Farms.Paddy.Rice;Farms.Tavy.Rice;Extracts.Medical.plants;ID.vis.Indri;ID.vis.Microcebus;Aye.aye.protected
1;1;0;1;51-60;None;1;0;1;0;0;0;4;2;1;0;1;4;1;0;1;1;1;1
2;1;0;1;51-60;High;1;0;1;0;1;1;5;0;1;1;1;4;1;0;1;1;1;1
3;1;0;1;41-50;Primary;1;0;1;0;0;0;3;1;0;0;1;4;1;1;1;1;1;1
4;1;0;1;51-60;Secondary;1;0;1;1;1;1;6;0;1;0;1;4;1;1;0;1;1;1
5;0;0;0;51-60;Primary;1;0;0;0;1;1;3;3;0;0;1;4;1;0;1;1;1;1
6;0;0;0;41-50;Primary;1;0;1;0;0;0;3;2;1;0;1;4;1;0;0;0;1;1
7;1;0;1;51-60;Primary;1;0;1;0;0;1;4;2;1;0;1;4;1;1;1;0;1;1
8;1;0;1;21-30;None;1;0;1;0;0;0;3;2;0;0;1;4;1;0;0;1;1;1
9;0;0;1;41-50;Primary;1;0;1;0;0;0;4;2;1;0;1;4;1;0;1;0;0;1
10;0;0;1;14-20;High;1;0;0;0;0;0;5;2;0;0;1;4;1;0;1;0;0;0
11;0;1;1;31-40;None;1;1;1;1;1;1;4;1;1;1;5;2;1;0;1;1;1;1
12;0;1;0;21-30;Secondary;3;1;1;0;0;0;0;10;0;0;5;2;1;0;0;0;1;1
13;1;1;1;21-30;Secondary;1;0;1;0;1;1;3;1;1;1;5;2;1;0;0;1;1;1
14;1;1;1;21-30;None;1;0;1;0;0;1;4;4;1;0;5;2;1;1;1;1;0;1
15;0;1;0;21-30;Primary;2;0;1;0;0;1;1;3;0;0;5;2;1;1;1;1;0;1
16;1;1;1;31-40;High;1;0;1;1;1;1;3;0;1;0;5;2;1;0;0;1;1;1
17;0;1;0;21-30;High;2;0;1;0;0;0;4;0;1;0;5;2;1;0;1;1;0;1
18;0;1;1;>70;None;1;0;1;0;0;1;2;7;0;0;5;2;1;0;1;1;0;0
19;0;1;0;21-30;Primary;2;0;1;0;0;0;1;9;0;0;5;2;1;0;1;1;0;0
20;0;1;1;14-20;Primary;1;0;1;0;0;0;2;10;0;0;5;2;0;0;1;1;1;0
21;1;1;1;51-60;Primary;1;0;1;0;0;0;3;7;0;0;5;2;1;1;1;1;0;1
22;0;1;0;31-40;Secondary;1;0;1;0;0;0;3;3;0;0;5;2;1;0;0;1;0;-1
23;1;1;0;41-50;None;1;0;1;0;0;0;4;4;1;0;5;2;1;0;1;1;0;1
24;1;1;1;31-40;Primary;1;0;1;0;1;1;5;1;1;0;5;2;1;0;1;1;1;1
25;0;1;0;21-30;None;1;0;1;0;0;0;1;7;0;0;5;2;1;0;1;1;0;1
26;1;1;1;21-30;Secondary;1;0;1;0;0;1;5;1;1;0;5;2;1;0;1;1;1;1
27;1;1;1;21-30;Primary;1;0;1;1;1;1;3;3;0;0;5;2;1;0;1;1;1;1
28;1;1;1;61-70;None;1;0;1;1;0;1;4;2;1;1;5;2;1;0;1;1;0;1
29;0;1;1;21-30;Secondary;1;1;0;0;0;0;2;3;0;0;5;2;0;0;0;1;1;1
30;1;1;1;21-30;Primary;1;0;1;0;0;0;4;2;1;0;5;2;1;1;1;1;1;1
31;1;1;1;51-60;Primary;1;1;1;0;1;1;3;3;1;0;5;1;1;0;1;1;1;-1
32;1;1;1;51-60;None;2;0;1;0;0;1;1;5;0;0;5;1;1;1;1;1;0;1
33;1;1;1;41-50;Primary;2;0;1;0;0;1;4;1;0;0;5;1;1;0;1;1;0;1
34;0;1;0;41-50;Primary;1;1;1;0;0;0;0;8;0;0;5;1;1;0;1;0;0;-1
