iter	Logloss
0	0.6882764568
1	0.6838283822
2	0.6788489709
3	0.6735473506
4	0.6716721238
5	0.6680845331
6	0.6646645035
7	0.6606641672
8	0.6591802563
9	0.656653002
10	0.6536737318
11	0.6496564834
12	0.6477958048
13	0.6430725393
14	0.6403887966
15	0.6386446221
16	0.6350896804
17	0.6314516038
18	0.6300595604
19	0.626624783
20	0.6228380922
21	0.6191573671
22	0.6162705302
23	0.6118028373
24	0.6098179499
25	0.6090164238
26	0.6056126925
27	0.6032870758
28	0.6027292661
29	0.5997605227
30	0.5960448364
31	0.5932768176
32	0.5904406889
33	0.5878013588
34	0.5847371994
35	0.5824786396
36	0.5795158013
37	0.5782632781
38	0.5751468773
39	0.5720526976
40	0.569021924
41	0.5656174574
42	0.5626750665
43	0.5598115518
44	0.5569585023
45	0.5543689193
46	0.5519621693
47	0.5495715417
48	0.5476806805
49	0.5467696914
50	0.5445530922
51	0.5418993006
52	0.539317458
53	0.5389675643
54	0.5368652026
55	0.5345139727
56	0.5329739072
57	0.5314767534
58	0.5292477421
59	0.5280065305
60	0.5272693204
61	0.5254235104
62	0.5234717438
63	0.5214737591
64	0.519604246
65	0.5181565797
66	0.5158494516
67	0.5131238274
68	0.5127727358
69	0.5103291002
70	0.5085632051
71	0.5067736415
72	0.5052328846
73	0.503884454
74	0.5016681593
75	0.5008650654
76	0.5003230486
77	0.4980525452
78	0.4974653251
79	0.4964506759
80	0.4952765953
81	0.493795667
82	0.4918062944
83	0.4903085991
84	0.488971689
85	0.4869132597
86	0.4851031979
87	0.4835656757
88	0.4832078943
89	0.4810687642
90	0.4807593762
91	0.4786518578
92	0.4776517303
93	0.4768344402
94	0.475165336
95	0.4734135958
96	0.4720658029
97	0.4705293938
98	0.4688379502
99	0.4669851138
100	0.4657393795
101	0.4649050389
102	0.4633979342
103	0.4620972612
104	0.4607140216
105	0.4593242076
106	0.4576000229
107	0.456214645
108	0.4560133378
109	0.4544675444
110	0.4530624085
111	0.4529065615
112	0.4514285641
113	0.4497234783
114	0.448022517
115	0.4467604087
116	0.4464235698
117	0.4448642919
118	0.4432739335
119	0.4431948442
120	0.4429804331
121	0.4416651036
122	0.4407299561
123	0.4406281566
124	0.4392881057
125	0.4378510701
126	0.436828193
127	0.4355445539
128	0.4348365214
129	0.4337682773
130	0.4327608044
131	0.4315964214
132	0.430258927
133	0.4292230262
134	0.4277746602
135	0.42733653
136	0.4271381304
137	0.4265005935
138	0.4250939942
139	0.424137187
140	0.4228013878
141	0.4217800404
142	0.4212916845
143	0.4202622152
144	0.4191184864
145	0.4178920397
146	0.4169239118
147	0.4165754272
148	0.4155016892
149	0.4149026347
150	0.4146732245
151	0.4146060307
152	0.4138395099
153	0.4131927691
154	0.4120649586
155	0.4110476134
156	0.4100388127
157	0.409038056
158	0.4080920617
159	0.4080868488
160	0.4080436686
161	0.4072121715
162	0.4059586453
163	0.4049591488
164	0.4038733272
165	0.4028011199
166	0.4015499144
167	0.4013766946
168	0.4003443488
169	0.399962876
170	0.3989799266
171	0.3981204134
172	0.3968937034
173	0.3968064648
174	0.3963349132
175	0.3959724564
176	0.3948975201
177	0.3939750107
178	0.3937218805
179	0.3929000987
180	0.3919874043
181	0.391130972
182	0.390369349
183	0.3902815161
184	0.3892705315
185	0.388515306
186	0.3877811097
187	0.3868358727
188	0.385866786
189	0.3848195263
190	0.3838315239
191	0.383625028
192	0.3826439628
193	0.3818619793
194	0.3809627083
195	0.3808646743
196	0.3801829805
197	0.3792958729
198	0.3792544366
199	0.3787430189
200	0.3779223145
201	0.376875193
202	0.3758869163
203	0.3750139264
204	0.3740852087
205	0.3739118884
206	0.3738192362
207	0.3731322629
208	0.3731108306
209	0.372925079
210	0.3718069034
211	0.3713529242
212	0.3707004397
213	0.3700179352
214	0.3690555056
215	0.3685352035
216	0.3679536458
217	0.3676542142
218	0.3667108409
219	0.3665104165
220	0.3655238232
221	0.3647647099
222	0.3647316043
223	0.3644162843
224	0.3641566567
225	0.363226476
226	0.3624672135
227	0.362345336
228	0.3616167834
229	0.3607135157
230	0.3599792837
231	0.3595334659
232	0.3594071281
233	0.3586781514
234	0.3586473995
235	0.3578347761
236	0.3570815334
237	0.3564168006
238	0.3558143999
239	0.3557239475
240	0.35525276
241	0.354912266
242	0.3542999258
243	0.3537250672
244	0.3530938962
245	0.3530228492
246	0.3528561831
247	0.352843061
248	0.3522137218
249	0.3516223951
250	0.3516182248
251	0.3509288331
252	0.3504171086
253	0.3498558829
254	0.3492955128
255	0.3492830037
256	0.3484899858
257	0.3484228712
258	0.3479059286
259	0.347310187
260	0.3466493361
261	0.3461156086
262	0.3454995603
263	0.3453943253
264	0.3453157635
265	0.3446551127
266	0.3441195921
267	0.3441188637
268	0.3436610753
269	0.3430081963
270	0.3427568589
271	0.3424046559
272	0.3416673014
273	0.3409773568
274	0.3409746651
275	0.3402795319
276	0.340169263
277	0.3401525508
278	0.3401381254
279	0.3401045205
280	0.3395732295
281	0.3390084791
282	0.3383843108
283	0.3377296775
284	0.3376969232
285	0.3371029673
286	0.3366315589
287	0.336192557
288	0.3353407849
289	0.335328967
290	0.3346245567
291	0.3341066228
292	0.3334523383
293	0.3326893363
294	0.3322212815
295	0.3321634864
296	0.3316234423
297	0.3315614966
298	0.3312034067
299	0.3306965702
300	0.3302320228
301	0.3301285626
302	0.3296148707
303	0.3290997732
304	0.3287265896
305	0.3282332265
306	0.3275744336
307	0.327091878
308	0.3266111206
309	0.3259588645
310	0.3253054944
311	0.3252873651
312	0.3251582438
313	0.3245039202
314	0.3238909166
315	0.3232080962
316	0.3231012414
317	0.3227468154
318	0.3220305401
319	0.3216402334
320	0.3212390518
321	0.3210213076
322	0.3204549105
323	0.320042287
324	0.3195467565
325	0.3191231923
326	0.3191174859
327	0.3184527393
328	0.3180498298
329	0.3180208257
330	0.3180115469
331	0.317521627
332	0.3171313987
333	0.316482745
334	0.3161292491
335	0.315661385
336	0.3152511007
337	0.314751227
338	0.3144225221
339	0.3139316316
340	0.3137987367
341	0.3136828617
342	0.3131994202
343	0.3126164086
344	0.3120859797
345	0.3120530841
346	0.3116259714
347	0.311050841
348	0.310698172
349	0.3101242628
350	0.3097292523
351	0.3093532744
352	0.3093215746
353	0.3090178442
354	0.3084547459
355	0.3080186831
356	0.3076623816
357	0.3071345437
358	0.3066026157
359	0.3062316351
360	0.3057866803
361	0.3054342484
362	0.3050594472
