iter	Passed	Remaining
0	166	83137
1	176	44063
2	187	31010
3	192	23931
4	196	19404
5	200	16547
6	205	14488
7	210	12932
8	212	11600
9	216	10587
10	219	9776
11	224	9148
12	228	8550
13	234	8133
14	238	7699
15	241	7317
16	248	7050
17	255	6842
18	260	6590
19	266	6398
20	276	6310
21	285	6205
22	292	6065
23	299	5944
24	305	5798
25	310	5657
26	320	5618
27	328	5540
28	333	5415
29	343	5373
30	353	5343
31	363	5315
32	373	5292
33	384	5272
34	396	5263
35	404	5216
36	415	5198
37	422	5137
38	433	5118
39	443	5104
40	454	5089
41	464	5063
42	473	5037
43	483	5015
44	490	4960
45	495	4889
46	501	4830
47	507	4780
48	512	4717
49	515	4643
50	521	4589
51	526	4532
52	531	4485
53	534	4413
54	541	4377
55	549	4354
56	556	4326
57	562	4283
58	568	4247
59	574	4210
60	579	4166
61	587	4148
62	594	4127
63	603	4108
64	610	4086
65	618	4069
66	628	4062
67	638	4054
68	643	4018
69	654	4022
70	666	4025
71	677	4026
72	689	4031
73	698	4022
74	709	4019
75	716	3997
76	724	3980
77	736	3982
78	742	3956
79	752	3952
80	763	3946
81	767	3913
82	772	3883
83	779	3859
84	784	3829
85	790	3805
86	796	3781
87	801	3752
88	804	3715
89	810	3692
90	813	3657
91	820	3639
92	826	3616
93	830	3588
94	838	3574
95	846	3560
96	854	3551
97	862	3538
98	871	3531
99	879	3518
100	887	3505
101	892	3483
102	900	3471
103	908	3458
104	916	3448
105	924	3434
106	932	3424
107	942	3421
108	948	3402
109	958	3399
110	975	3417
111	980	3396
112	992	3400
113	1010	3421
114	1023	3426
115	1032	3419
116	1036	3394
117	1041	3373
118	1047	3353
119	1049	3323
120	1052	3296
121	1056	3274
122	1062	3255
123	1064	3227
124	1072	3216
125	1077	3197
126	1082	3178
127	1087	3160
128	1092	3140
129	1097	3123
130	1102	3104
131	1107	3087
132	1111	3067
133	1116	3050
134	1120	3030
135	1125	3012
136	1128	2989
137	1132	2971
138	1138	2955
139	1143	2941
140	1149	2927
141	1155	2913
142	1159	2893
143	1164	2880
144	1171	2867
145	1178	2857
146	1184	2844
147	1189	2828
148	1195	2817
149	1201	2803
150	1205	2786
151	1209	2767
152	1215	2756
153	1220	2742
154	1226	2730
155	1233	2719
156	1239	2708
157	1245	2696
158	1252	2686
159	1255	2667
160	1258	2649
161	1263	2637
162	1270	2627
163	1277	2617
164	1284	2608
165	1292	2601
166	1300	2592
167	1305	2578
168	1311	2568
169	1317	2557
170	1325	2550
171	1333	2542
172	1340	2533
173	1344	2519
174	1351	2509
175	1356	2497
176	1363	2488
177	1370	2479
178	1376	2468
179	1384	2460
180	1392	2453
181	1400	2447
182	1411	2444
183	1417	2433
184	1427	2430
185	1440	2431
186	1450	2427
187	1461	2424
188	1472	2422
189	1482	2418
190	1492	2414
191	1499	2405
192	1509	2400
193	1519	2396
194	1528	2390
195	1533	2378
196	1543	2374
197	1552	2368
198	1557	2356
199	1565	2348
200	1578	2347
201	1589	2345
202	1601	2342
203	1612	2340
204	1623	2336
205	1630	2327
206	1636	2316
207	1645	2310
208	1649	2296
209	1655	2286
210	1665	2280
211	1674	2274
212	1683	2268
213	1693	2262
214	1703	2257
215	1714	2253
216	1725	2249
217	1732	2240
218	1740	2233
219	1745	2221
220	1753	2214
221	1761	2206
222	1766	2194
223	1771	2182
224	1776	2171
225	1784	2163
226	1792	2156
227	1798	2145
228	1805	2136
229	1809	2124
230	1814	2112
231	1818	2100
232	1821	2087
233	1826	2075
234	1829	2062
235	1833	2051
236	1839	2040
237	1843	2029
238	1848	2018
239	1850	2005
240	1856	1994
241	1859	1982
242	1864	1972
243	1869	1960
244	1873	1950
245	1877	1938
246	1880	1926
247	1882	1913
248	1887	1902
249	1890	1890
250	1892	1877
251	1897	1867
252	1902	1857
253	1906	1846
254	1912	1837
255	1914	1824
256	1921	1816
257	1925	1805
258	1931	1797
259	1939	1790
260	1947	1783
261	1957	1777
262	1966	1771
263	1971	1762
264	1976	1752
265	1985	1746
266	1994	1740
267	1997	1729
268	2004	1721
269	2011	1713
270	2017	1704
271	2025	1697
272	2033	1690
273	2041	1684
274	2045	1673
275	2053	1666
276	2057	1656
277	2061	1646
278	2064	1635
279	2068	1625
280	2075	1617
281	2083	1610
282	2091	1603
283	2099	1596
284	2104	1587
285	2112	1580
286	2121	1574
287	2129	1567
288	2137	1560
289	2141	1550
290	2149	1543
291	2156	1536
292	2164	1529
293	2174	1523
294	2181	1515
295	2186	1506
296	2193	1499
297	2198	1490
298	2205	1482
299	2212	1474
300	2219	1467
301	2224	1458
302	2231	1450
303	2236	1441
304	2240	1432
305	2243	1422
306	2248	1413
307	2253	1404
308	2257	1395
309	2262	1386
310	2266	1377
311	2269	1367
312	2272	1357
313	2277	1349
314	2281	1340
315	2286	1331
316	2289	1321
317	2293	1312
318	2297	1303
319	2301	1294
320	2306	1286
321	2312	1278
322	2318	1270
323	2322	1261
324	2327	1253
325	2332	1244
326	2334	1235
327	2338	1226
328	2343	1217
329	2345	1208
330	2347	1198
331	2351	1190
332	2356	1181
333	2362	1174
334	2368	1166
335	2374	1158
336	2380	1151
337	2387	1144
338	2395	1137
339	2403	1130
340	2407	1122
341	2414	1115
342	2422	1108
343	2430	1102
344	2438	1095
345	2441	1086
346	2449	1079
347	2456	1072
348	2463	1065
349	2470	1058
350	2477	1051
351	2484	1044
352	2488	1036
353	2495	1029
354	2502	1022
355	2509	1015
356	2517	1008
357	2524	1001
358	2532	994
359	2539	987
360	2546	980
361	2552	973
362	2558	965
363	2565	958
364	2572	951
365	2578	944
366	2585	936
367	2592	929
368	2599	922
369	2602	914
370	2610	907
371	2620	901
372	2630	895
373	2641	890
374	2649	883
375	2654	875
376	2658	867
377	2663	859
378	2668	851
379	2671	843
380	2676	835
381	2683	828
382	2690	821
383	2698	815
384	2706	808
385	2717	802
386	2727	796
387	2737	790
388	2747	784
389	2754	776
390	2764	770
391	2776	765
392	2786	758
393	2798	752
394	2810	747
395	2823	741
396	2834	735
397	2845	729
398	2856	722
399	2866	716
400	2872	709
401	2877	701
402	2886	694
403	2895	687
404	2900	680
405	2908	673
406	2919	667
407	2927	660
408	2937	653
409	2946	646
410	2952	639
411	2961	632
412	2966	624
413	2975	618
414	2984	611
415	2992	604
416	3001	597
417	3006	589
418	3014	582
419	3022	575
420	3028	568
421	3032	560
422	3038	553
423	3042	545
424	3048	538
425	3052	530
426	3054	522
427	3060	514
428	3068	507
429	3073	500
430	3079	493
431	3086	485
432	3094	478
433	3101	471
434	3108	464
435	3117	457
436	3122	450
437	3130	443
438	3140	436
439	3149	429
440	3160	422
441	3171	416
442	3177	408
443	3184	401
444	3196	395
445	3207	388
446	3217	381
447	3222	374
448	3232	367
449	3242	360
450	3249	353
451	3255	345
452	3266	338
453	3278	332
454	3288	325
455	3298	318
456	3309	311
457	3318	304
458	3324	296
459	3329	289
460	3338	282
461	3341	274
462	3347	267
463	3351	260
464	3360	252
465	3370	245
466	3379	238
467	3384	231
468	3394	224
469	3405	217
470	3416	210
471	3427	203
472	3439	196
473	3445	188
474	3454	181
475	3463	174
476	3471	167
477	3476	159
478	3484	152
479	3493	145
480	3502	138
481	3511	131
482	3520	123
483	3531	116
484	3542	109
485	3553	102
486	3561	95
487	3570	87
488	3578	80
489	3587	73
490	3596	65
491	3605	58
492	3615	51
493	3622	44
494	3627	36
495	3637	29
496	3642	21
497	3652	14
498	3664	7
499	3675	0
